Security,BBRXBRBL Index                                                  ,
Start Date,26/3/2003 0:00,
End Date,26/3/2020 0:00,
Period,D,
,,
Date,PX_LAST,PX_MID
#NAME?,-8.45,-8.45
25/3/2020,-8.69,-8.69
24/3/2020,-12.62,-12.62
23/3/2020,-13.97,-13.97
22/3/2020,-13.41,-13.41
21/3/2020,-13.41,-13.41
20/3/2020,-13.19,-13.19
19/3/2020,-16.53,-16.53
18/3/2020,-10.96,-10.96
17/3/2020,-9.6,-9.6
16/3/2020,-9.72,-9.72
13/3/2020,-7.81,-7.81
11/3/2020,-4.95,-4.95
10/3/2020,-4.34,-4.34
9/3/2020,-6.04,-6.04
6/3/2020,-3.52,-3.52
5/3/2020,-2.13,-2.13
4/3/2020,-1.75,-1.75
3/3/2020,-2.7,-2.7
2/3/2020,-6.94,-6.94
29/2/2020,-2.52,-2.52
28/2/2020,-2.52,-2.52
27/2/2020,-2.08,-2.08
26/2/2020,-1.64,-1.64
25/2/2020,-1.23,-1.23
24/2/2020,-0.97,-0.97
23/2/2020,-0.72,-0.72
22/2/2020,-0.72,-0.72
21/2/2020,-0.72,-0.72
20/2/2020,-0.62,-0.62
19/2/2020,-0.51,-0.51
18/2/2020,-0.52,-0.52
17/2/2020,-0.44,-0.44
16/2/2020,-0.48,-0.48
15/2/2020,-0.48,-0.48
14/2/2020,-0.48,-0.48
13/2/2020,-0.23,-0.23
12/2/2020,0.08,0.08
11/2/2020,0.01,0.01
10/2/2020,-0.21,-0.21
9/2/2020,-0.18,-0.18
8/2/2020,-0.18,-0.18
7/2/2020,-0.18,-0.18
6/2/2020,-0.24,-0.24
5/2/2020,-0.18,-0.18
4/2/2020,-0.16,-0.16
3/2/2020,-0.12,-0.12
2/2/2020,0.02,0.02
1/2/2020,0.02,0.02
31/1/2020,-17.46,-17.46
30/1/2020,-17.43,-17.43
29/1/2020,-17.52,-17.52
28/1/2020,-17.62,-17.62
27/1/2020,-17.61,-17.61
26/1/2020,-17.59,-17.59
25/1/2020,-17.59,-17.59
24/1/2020,-17.59,-17.59
